Account Status,Debt History,Loan Purpose,Credit Amount,Savings,Years Employed,Personal Status And Gender,Age,Job Status,Decision
'no checking','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','<100','1<=X<4','female div/dep/mar','<30','skilled',good
'<0','existing paid','furniture/equipment','<2000','no known savings','>=7','male div/sep','>=40','unskilled resident',good
'no checking','existing paid','furniture/equipment','>=4000','<100','<1','female div/dep/mar','30<=X<40','skilled',bad
'no checking','existing paid','radio/tv','<2000','100<=X<500','1<=X<4','male single','<30','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','used car','2000<=X<4000','>=1000','>=7','male single','<30','skilled',good
'no checking','existing paid','furniture/equipment','<2000','<100','1<=X<4','male single','>=40','skilled',good
'>=200','all paid','radio/tv','<2000','no known savings','4<=X<7','male single','>=40','unskilled resident',good
'no checking','critical/other existing credit','furniture/equipment','<2000','no known savings','>=7','male single','>=40','skilled',good
'0<=X<200','critical/other existing credit','new car','2000<=X<4000','100<=X<500','<1','male div/sep','30<=X<40','skilled',good
'<0','existing paid','new car','>=4000','<100','<1','female div/dep/mar','30<=X<40','unskilled resident',good
'<0','existing paid','used car','>=4000','<100','4<=X<7','male single','<30','skilled',good
'0<=X<200','delayed previously','other','>=4000','100<=X<500','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','>=40','skilled',good
'<0','delayed previously','radio/tv','<2000','<100','<1','male mar/wid','>=40','skilled',bad
'no checking','existing paid','business','<2000','<100','1<=X<4','male mar/wid','<30','skilled',good
'0<=X<200','existing paid','used car','>=4000','<100','<1','male mar/wid','<30','high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','used car','>=4000','<100','>=7','female div/dep/mar','>=40','high qualif/self emp/mgmt',good
'>=200','critical/other existing credit','used car','>=4000','<100','>=7','male single','>=40','skilled',good
'no checking','critical/other existing credit','business','>=4000','no known savings','>=7','male div/sep','>=40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','furniture/equipment','>=4000','<100','<1','female div/dep/mar','<30','skilled',bad
'no checking','existing paid','used car','>=4000','no known savings','<1','female div/dep/mar','<30','skilled',good
'no checking','existing paid','new car','<2000','no known savings','>=7','male single','>=40','unskilled resident',good
'no checking','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male single','>=40','skilled',good
'0<=X<200','critical/other existing credit','furniture/equipment','2000<=X<4000','>=1000','4<=X<7','male single','30<=X<40','skilled',good
'no checking','existing paid','new car','<2000','<100','unemployed','female div/dep/mar','>=40','unemp/unskilled non res',good
'0<=X<200','no credits/all paid','radio/tv','2000<=X<4000','<100','1<=X<4','female div/dep/mar','>=40','skilled',bad
'>=200','critical/other existing credit','new car','<2000','no known savings','4<=X<7','male single','30<=X<40','unskilled resident',bad
'<0','critical/other existing credit','new car','<2000','<100','4<=X<7','male single','>=40','skilled',good
'no checking','critical/other existing credit','new car','>=4000','500<=X<1000','1<=X<4','male single','>=40','skilled',bad
'no checking','existing paid','furniture/equipment','<2000','>=1000','1<=X<4','male div/sep','30<=X<40','skilled',good
'no checking','existing paid','used car','>=4000','no known savings','4<=X<7','female div/dep/mar','<30','unskilled resident',good
'<0','existing paid','radio/tv','<2000','100<=X<500','<1','male mar/wid','30<=X<40','unskilled resident',bad
'0<=X<200','existing paid','furniture/equipment','<2000','<100','1<=X<4','female div/dep/mar','<30','skilled',bad
'0<=X<200','existing paid','new car','<2000','<100','1<=X<4','male mar/wid','<30','unskilled resident',good
'0<=X<200','existing paid','other','>=4000','no known savings','unemployed','male single','>=40','unemp/unskilled non res',good
'no checking','existing paid','furniture/equipment','>=4000','100<=X<500','1<=X<4','male single','<30','skilled',good
'>=200','existing paid','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','<30','skilled',good
'0<=X<200','existing paid','new car','<2000','<100','4<=X<7','male mar/wid','<30','unskilled resident',bad
'>=200','existing paid','new car','<2000','no known savings','<1','male single','<30','unskilled resident',good
'<0','all paid','furniture/equipment','2000<=X<4000','<100','>=7','male single','30<=X<40','skilled',bad
'<0','existing paid','furniture/equipment','<2000','<100','1<=X<4','male single','30<=X<40','unskilled resident',good
'0<=X<200','existing paid','furniture/equipment','>=4000','no known savings','1<=X<4','female div/dep/mar','>=40','unskilled resident',good
'no checking','critical/other existing credit','education','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','delayed previously','furniture/equipment','2000<=X<4000','<100','>=7','female div/dep/mar','<30','unskilled resident',good
'0<=X<200','critical/other existing credit','new car','>=4000','<100','unemployed','male mar/wid','<30','high qualif/self emp/mgmt',bad
'<0','existing paid','radio/tv','<2000','<100','<1','male div/sep','30<=X<40','skilled',bad
'<0','existing paid','used car','2000<=X<4000','<100','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment','2000<=X<4000','>=1000','1<=X<4','male single','<30','skilled',good
'no checking','critical/other existing credit','new car','<2000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'<0','critical/other existing credit','new car','2000<=X<4000','<100','4<=X<7','male single','30<=X<40','unskilled resident',good
'no checking','critical/other existing credit','furniture/equipment','>=4000','no known savings','>=7','male single','>=40','skilled',good
'no checking','existing paid','new car','<2000','>=1000','4<=X<7','female div/dep/mar','30<=X<40','skilled',good
'>=200','existing paid','radio/tv','>=4000','<100','>=7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','>=7','male single','<30','skilled',good
'<0','critical/other existing credit','used car','>=4000','<100','unemployed','male single','>=40','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','education','<2000','100<=X<500','1<=X<4','female div/dep/mar','30<=X<40','skilled',bad
'0<=X<200','existing paid','new car','>=4000','100<=X<500','<1','female div/dep/mar','<30','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','used car','>=4000','100<=X<500','1<=X<4','female div/dep/mar','<30','unskilled resident',bad
'<0','no credits/all paid','furniture/equipment','>=4000','<100','>=7','male single','<30','skilled',bad
'<0','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','1<=X<4','male div/sep','>=40','high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','radio/tv','2000<=X<4000','<100','<1','female div/dep/mar','<30','unskilled resident',good
'<0','existing paid','domestic appliance','<2000','no known savings','1<=X<4','female div/dep/mar','<30','skilled',bad
'<0','existing paid','furniture/equipment','>=4000','<100','1<=X<4','male single','<30','skilled',good
'0<=X<200','existing paid','furniture/equipment','<2000','<100','1<=X<4','male div/sep','30<=X<40','unskilled resident',good
'0<=X<200','critical/other existing credit','education','>=4000','<100','<1','female div/dep/mar','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','4<=X<7','female div/dep/mar','<30','unskilled resident',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','500<=X<1000','<1','male mar/wid','<30','skilled',good
'0<=X<200','existing paid','business','>=4000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'>=200','existing paid','new car','2000<=X<4000','<100','<1','male single','30<=X<40','unskilled resident',good
'no checking','critical/other existing credit','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','>=40','unskilled resident',good
'0<=X<200','critical/other existing credit','radio/tv','<2000','<100','<1','male single','<30','skilled',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','500<=X<1000','unemployed','female div/dep/mar','<30','unemp/unskilled non res',good
'no checking','delayed previously','business','<2000','100<=X<500','1<=X<4','male single','30<=X<40','unskilled resident',good
'0<=X<200','critical/other existing credit','education','<2000','>=1000','>=7','male single','30<=X<40','skilled',bad
'no checking','existing paid','domestic appliance','<2000','<100','<1','female div/dep/mar','<30','skilled',good
'0<=X<200','existing paid','furniture/equipment','<2000','<100','1<=X<4','female div/dep/mar','<30','skilled',bad
'no checking','critical/other existing credit','used car','2000<=X<4000','no known savings','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','no credits/all paid','radio/tv','>=4000','<100','1<=X<4','male single','<30','skilled',bad
'no checking','existing paid','education','<2000','500<=X<1000','>=7','male single','>=40','skilled',good
'0<=X<200','existing paid','new car','<2000','<100','<1','male single','<30','unskilled resident',bad
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','no known savings','>=7','male single','>=40','skilled',good
'no checking','delayed previously','radio/tv','>=4000','<100','1<=X<4','male single','<30','high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','male mar/wid','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','4<=X<7','female div/dep/mar','<30','skilled',bad
'0<=X<200','existing paid','education','<2000','no known savings','1<=X<4','male single','>=40','skilled',good
'>=200','existing paid','radio/tv','2000<=X<4000','no known savings','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'>=200','delayed previously','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'no checking','existing paid','furniture/equipment','<2000','<100','1<=X<4','male mar/wid','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','unemployed','male single','<30','unemp/unskilled non res',bad
'no checking','existing paid','business','<2000','<100','4<=X<7','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','used car','2000<=X<4000','<100','4<=X<7','male single','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','>=7','male single','>=40','skilled',bad
'0<=X<200','existing paid','furniture/equipment','2000<=X<4000','<100','4<=X<7','female div/dep/mar','>=40','skilled',good
'no checking','existing paid','new car','2000<=X<4000','no known savings','1<=X<4','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','>=4000','<100','>=7','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','<30','skilled',good
'no checking','critical/other existing credit','new car','>=4000','no known savings','>=7','male single','>=40','high qualif/self emp/mgmt',good
'0<=X<200','all paid','other','>=4000','100<=X<500','>=7','female div/dep/mar','>=40','high qualif/self emp/mgmt',bad
'<0','all paid','business','>=4000','<100','4<=X<7','female div/dep/mar','30<=X<40','skilled',bad
'no checking','delayed previously','radio/tv','2000<=X<4000','<100','unemployed','male mar/wid','30<=X<40','skilled',good
'no checking','delayed previously','radio/tv','<2000','no known savings','>=7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','new car','>=4000','<100','>=7','male single','>=40','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','new car','<2000','100<=X<500','1<=X<4','female div/dep/mar','>=40','unskilled resident',good
'<0','existing paid','furniture/equipment','2000<=X<4000','no known savings','4<=X<7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','used car','>=4000','<100','unemployed','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',bad
'no checking','existing paid','new car','<2000','no known savings','4<=X<7','female div/dep/mar','<30','skilled',good
'>=200','existing paid','new car','<2000','<100','<1','male single','<30','skilled',good
'no checking','delayed previously','business','>=4000','100<=X<500','1<=X<4','male single','<30','unskilled resident',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','<100','1<=X<4','female div/dep/mar','<30','skilled',good
'no checking','existing paid','radio/tv','<2000','no known savings','<1','female div/dep/mar','<30','skilled',good
'0<=X<200','critical/other existing credit','furniture/equipment','>=4000','<100','unemployed','male single','>=40','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','business','2000<=X<4000','500<=X<1000','1<=X<4','male single','<30','skilled',good
'no checking','existing paid','business','<2000','<100','4<=X<7','female div/dep/mar','<30','skilled',good
'no checking','existing paid','new car','<2000','<100','1<=X<4','male mar/wid','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','furniture/equipment','<2000','>=1000','<1','female div/dep/mar','<30','unskilled resident',good
'<0','existing paid','new car','2000<=X<4000','<100','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','radio/tv','<2000','<100','4<=X<7','female div/dep/mar','30<=X<40','skilled',good
'no checking','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','delayed previously','education','>=4000','100<=X<500','4<=X<7','male single','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','unemployed','female div/dep/mar','>=40','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','1<=X<4','male mar/wid','>=40','skilled',good
'0<=X<200','existing paid','new car','<2000','<100','>=7','male div/sep','>=40','skilled',bad
'no checking','critical/other existing credit','radio/tv','<2000','>=1000','1<=X<4','female div/dep/mar','>=40','unskilled resident',good
'no checking','existing paid','radio/tv','<2000','<100','<1','male mar/wid','30<=X<40','skilled',good
'0<=X<200','critical/other existing credit','business','<2000','no known savings','1<=X<4','male mar/wid','<30','skilled',good
'no checking','delayed previously','business','>=4000','<100','<1','male single','<30','skilled',bad
'no checking','delayed previously','new car','<2000','<100','1<=X<4','male single','<30','unskilled resident',good
'0<=X<200','delayed previously','new car','2000<=X<4000','no known savings','>=7','male single','>=40','skilled',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','<100','<1','male mar/wid','<30','skilled',bad
'no checking','critical/other existing credit','used car','2000<=X<4000','no known savings','4<=X<7','male single','>=40','skilled',good
'<0','existing paid','radio/tv','<2000','<100','<1','male mar/wid','<30','skilled',good
'no checking','existing paid','radio/tv','2000<=X<4000','500<=X<1000','>=7','male div/sep','<30','high qualif/self emp/mgmt',good
'>=200','critical/other existing credit','new car','<2000','500<=X<1000','4<=X<7','male mar/wid','<30','skilled',bad
'0<=X<200','existing paid','radio/tv','<2000','<100','>=7','female div/dep/mar','<30','skilled',good
'no checking','critical/other existing credit','used car','>=4000','<100','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','business','2000<=X<4000','<100','unemployed','male single','>=40','high qualif/self emp/mgmt',bad
'no checking','existing paid','new car','<2000','500<=X<1000','1<=X<4','male single','>=40','unskilled resident',good
'<0','existing paid','new car','<2000','no known savings','1<=X<4','female div/dep/mar','30<=X<40','skilled',bad
'no checking','critical/other existing credit','used car','>=4000','<100','>=7','male single','30<=X<40','skilled',good
'<0','existing paid','new car','2000<=X<4000','<100','<1','male single','30<=X<40','unskilled resident',bad
'<0','delayed previously','education','>=4000','no known savings','1<=X<4','female div/dep/mar','<30','skilled',good
'no checking','existing paid','new car','2000<=X<4000','500<=X<1000','4<=X<7','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','new car','<2000','no known savings','1<=X<4','female div/dep/mar','30<=X<40','skilled',bad
'no checking','existing paid','new car','2000<=X<4000','>=1000','4<=X<7','female div/dep/mar','<30','skilled',good
'0<=X<200','existing paid','used car','2000<=X<4000','no known savings','1<=X<4','male single','30<=X<40','skilled',good
'0<=X<200','critical/other existing credit','new car','<2000','<100','4<=X<7','male single','>=40','unskilled resident',good
'no checking','delayed previously','furniture/equipment','<2000','100<=X<500','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','furniture/equipment','2000<=X<4000','no known savings','>=7','female div/dep/mar','<30','skilled',bad
'0<=X<200','existing paid','used car','2000<=X<4000','<100','1<=X<4','male mar/wid','<30','skilled',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','<100','>=7','male single','<30','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','>=1000','1<=X<4','male single','>=40','skilled',good
'no checking','existing paid','furniture/equipment','<2000','<100','>=7','male single','<30','skilled',good
'<0','critical/other existing credit','repairs','<2000','<100','unemployed','female div/dep/mar','>=40','unemp/unskilled non res',bad
'no checking','existing paid','business','2000<=X<4000','<100','4<=X<7','male single','>=40','unskilled resident',good
'0<=X<200','existing paid','other','2000<=X<4000','<100','1<=X<4','male single','<30','high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','furniture/equipment','<2000','<100','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','repairs','2000<=X<4000','<100','1<=X<4','male div/sep','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male single','<30','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','no known savings','1<=X<4','male mar/wid','<30','skilled',bad
'no checking','existing paid','repairs','<2000','500<=X<1000','4<=X<7','male mar/wid','<30','unskilled resident',good
'no checking','critical/other existing credit','new car','<2000','>=1000','>=7','female div/dep/mar','30<=X<40','skilled',good
'<0','critical/other existing credit','repairs','2000<=X<4000','<100','unemployed','male single','>=40','unemp/unskilled non res',good
'>=200','all paid','business','<2000','<100','<1','female div/dep/mar','<30','unemp/unskilled non res',bad
'no checking','existing paid','new car','<2000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment','<2000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'0<=X<200','delayed previously','other','2000<=X<4000','<100','1<=X<4','male single','<30','skilled',good
'no checking','existing paid','education','<2000','<100','>=7','male single','>=40','unskilled resident',bad
'0<=X<200','critical/other existing credit','furniture/equipment','>=4000','<100','1<=X<4','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','education','<2000','no known savings','>=7','female div/dep/mar','>=40','unskilled resident',good
'<0','existing paid','new car','<2000','<100','<1','female div/dep/mar','30<=X<40','skilled',bad
'0<=X<200','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'>=200','existing paid','furniture/equipment','<2000','no known savings','>=7','female div/dep/mar','>=40','high qualif/self emp/mgmt',good
'0<=X<200','delayed previously','repairs','<2000','>=1000','1<=X<4','male mar/wid','>=40','skilled',bad
'no checking','critical/other existing credit','used car','>=4000','no known savings','1<=X<4','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','<30','skilled',good
'no checking','no credits/all paid','furniture/equipment','2000<=X<4000','<100','>=7','male single','30<=X<40','skilled',good
'no checking','existing paid','used car','2000<=X<4000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','new car','>=4000','<100','4<=X<7','male single','30<=X<40','skilled',bad
'no checking','existing paid','used car','2000<=X<4000','<100','<1','female div/dep/mar','<30','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','existing paid','used car','2000<=X<4000','<100','>=7','male single','30<=X<40','skilled',bad
'<0','existing paid','domestic appliance','<2000','<100','<1','female div/dep/mar','<30','skilled',good
'no checking','existing paid','radio/tv','>=4000','<100','<1','male single','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','existing paid','new car','<2000','<100','<1','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','retraining','<2000','no known savings','>=7','male single','30<=X<40','skilled',good
'no checking','existing paid','business','<2000','<100','4<=X<7','male single','30<=X<40','skilled',good
'<0','existing paid','used car','2000<=X<4000','<100','1<=X<4','male single','>=40','skilled',good
'<0','delayed previously','radio/tv','<2000','<100','<1','female div/dep/mar','<30','unskilled resident',bad
'no checking','delayed previously','radio/tv','>=4000','no known savings','>=7','male single','30<=X<40','skilled',good
'no checking','delayed previously','business','2000<=X<4000','<100','1<=X<4','female div/dep/mar','<30','skilled',good
'no checking','delayed previously','used car','>=4000','<100','4<=X<7','male single','30<=X<40','unskilled resident',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','100<=X<500','<1','male mar/wid','<30','skilled',bad
'<0','existing paid','education','<2000','<100','<1','female div/dep/mar','<30','skilled',bad
'<0','existing paid','new car','<2000','<100','1<=X<4','male single','<30','unskilled resident',bad
'no checking','existing paid','retraining','<2000','no known savings','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','radio/tv','<2000','<100','1<=X<4','male mar/wid','30<=X<40','skilled',bad
'<0','no credits/all paid','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','<30','skilled',bad
'no checking','existing paid','used car','2000<=X<4000','500<=X<1000','1<=X<4','male single','<30','skilled',good
'>=200','existing paid','radio/tv','>=4000','<100','4<=X<7','male single','<30','skilled',good
'0<=X<200','existing paid','business','<2000','100<=X<500','4<=X<7','male single','30<=X<40','unskilled resident',good
'<0','critical/other existing credit','furniture/equipment','<2000','<100','>=7','male single','>=40','skilled',good
'0<=X<200','critical/other existing credit','radio/tv','2000<=X<4000','<100','1<=X<4','female div/dep/mar','<30','unskilled resident',good
'0<=X<200','existing paid','new car','<2000','<100','<1','male single','<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','>=1000','>=7','female div/dep/mar','>=40','skilled',good
'no checking','delayed previously','furniture/equipment','<2000','>=1000','4<=X<7','female div/dep/mar','30<=X<40','skilled',good
'no checking','critical/other existing credit','new car','<2000','500<=X<1000','1<=X<4','male single','>=40','skilled',good
'0<=X<200','delayed previously','new car','<2000','<100','unemployed','male single','>=40','high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','>=40','skilled',good
'no checking','existing paid','new car','2000<=X<4000','<100','>=7','female div/dep/mar','>=40','skilled',good
'no checking','existing paid','new car','<2000','100<=X<500','1<=X<4','male single','30<=X<40','unskilled resident',good
'no checking','existing paid','new car','2000<=X<4000','<100','1<=X<4','male single','<30','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','<100','>=7','male single','<30','skilled',good
'0<=X<200','no credits/all paid','business','>=4000','<100','>=7','female div/dep/mar','>=40','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv','<2000','100<=X<500','1<=X<4','female div/dep/mar','<30','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','no known savings','>=7','male single','30<=X<40','skilled',good
'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','unskilled resident',good
'<0','existing paid','furniture/equipment','2000<=X<4000','no known savings','1<=X<4','male mar/wid','<30','skilled',bad
'0<=X<200','existing paid','furniture/equipment','>=4000','100<=X<500','<1','male single','<30','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','furniture/equipment','<2000','<100','4<=X<7','male single','>=40','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','>=7','male mar/wid','30<=X<40','unskilled resident',good
'>=200','critical/other existing credit','new car','<2000','100<=X<500','>=7','male div/sep','<30','skilled',good
'<0','existing paid','new car','2000<=X<4000','<100','<1','female div/dep/mar','<30','skilled',bad
'<0','existing paid','used car','>=4000','<100','>=7','male single','>=40','skilled',good
'>=200','existing paid','radio/tv','<2000','100<=X<500','>=7','male div/sep','>=40','skilled',good
'0<=X<200','critical/other existing credit','radio/tv','<2000','100<=X<500','<1','male single','30<=X<40','skilled',bad
'<0','existing paid','new car','<2000','<100','<1','female div/dep/mar','<30','skilled',bad
'no checking','existing paid','new car','<2000','no known savings','1<=X<4','male single','<30','unskilled resident',bad
'>=200','critical/other existing credit','used car','2000<=X<4000','500<=X<1000','1<=X<4','male single','30<=X<40','skilled',good
'0<=X<200','all paid','new car','>=4000','100<=X<500','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','male mar/wid','<30','skilled',good
'no checking','existing paid','used car','>=4000','100<=X<500','>=7','male single','>=40','high qualif/self emp/mgmt',good
'<0','existing paid','new car','<2000','<100','4<=X<7','male single','<30','skilled',bad
'no checking','existing paid','used car','>=4000','<100','1<=X<4','male single','30<=X<40','high qualif/self emp/mgmt',good
'>=200','existing paid','business','2000<=X<4000','<100','4<=X<7','male single','<30','skilled',good
'0<=X<200','delayed previously','radio/tv','<2000','<100','1<=X<4','male mar/wid','<30','skilled',good
'no checking','existing paid','new car','2000<=X<4000','no known savings','<1','male single','>=40','skilled',good
'<0','critical/other existing credit','new car','<2000','<100','4<=X<7','female div/dep/mar','30<=X<40','skilled',good
'<0','critical/other existing credit','new car','<2000','<100','<1','male single','>=40','unskilled resident',good
'no checking','critical/other existing credit','furniture/equipment','>=4000','<100','<1','female div/dep/mar','<30','skilled',bad
'<0','existing paid','new car','<2000','100<=X<500','>=7','male single','>=40','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','no known savings','>=7','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','repairs','>=4000','<100','>=7','male single','>=40','skilled',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','female div/dep/mar','<30','skilled',bad
'<0','no credits/all paid','furniture/equipment','>=4000','<100','1<=X<4','male single','>=40','skilled',bad
'no checking','existing paid','used car','2000<=X<4000','100<=X<500','4<=X<7','female div/dep/mar','<30','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','<30','unskilled resident',good
'0<=X<200','existing paid','used car','>=4000','<100','<1','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','education','<2000','100<=X<500','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','<100','4<=X<7','male single','>=40','unskilled resident',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male div/sep','30<=X<40','skilled',bad
'<0','existing paid','new car','<2000','<100','<1','male single','>=40','unskilled resident',good
'0<=X<200','existing paid','education','2000<=X<4000','<100','4<=X<7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','new car','2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','<30','skilled',bad
'no checking','delayed previously','used car','<2000','<100','1<=X<4','male mar/wid','>=40','skilled',good
'no checking','existing paid','radio/tv','<2000','100<=X<500','4<=X<7','male mar/wid','<30','skilled',good
'no checking','existing paid','radio/tv','2000<=X<4000','no known savings','<1','male single','<30','skilled',good
'>=200','critical/other existing credit','education','2000<=X<4000','<100','<1','male div/sep','30<=X<40','skilled',bad
'<0','existing paid','new car','<2000','no known savings','unemployed','female div/dep/mar','>=40','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','>=7','female div/dep/mar','30<=X<40','skilled',good
'<0','existing paid','new car','>=4000','<100','>=7','male single','>=40','high qualif/self emp/mgmt',bad
'>=200','existing paid','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','>=40','unskilled resident',good
'0<=X<200','existing paid','radio/tv','<2000','<100','<1','male mar/wid','<30','skilled',bad
'no checking','delayed previously','new car','2000<=X<4000','<100','>=7','male single','>=40','skilled',good
'<0','existing paid','furniture/equipment','>=4000','no known savings','>=7','male single','30<=X<40','skilled',bad
'>=200','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','unskilled resident',bad
'no checking','critical/other existing credit','new car','<2000','<100','>=7','male single','>=40','unskilled resident',good
'<0','delayed previously','new car','<2000','<100','unemployed','male single','>=40','skilled',bad
'no checking','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'no checking','existing paid','radio/tv','<2000','<100','4<=X<7','male single','30<=X<40','skilled',good
'<0','all paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','<30','unskilled resident',bad
